Division,Position,Number,Player Name,Status,Quick Stats,yard gain,type,other,stat,thing1,thing,thing3,team,,,
AFC North,TE,87,"Williams, Maxx",ACT,REC,15,YDS,86,AVG,5.7,TDS,1,BAL,,,
AFC North,LB,56,"Williams, Tim",ACT,TCKL,6,SCK,0,FF,0,INT,--,BAL,,,
AFC North,QB,7,"Woodrum, Josh",ACT,TDS,--,INT,--,YDS,--,RTG,--,BAL,,,
AFC North,DE,93,"Wormley, Chris",ACT,TCKL,5,SCK,0,FF,0,INT,--,BAL,,,
AFC North,OG,73,"Yanda, Marshal",ACT,G,2,GS,2,,,,,BAL,,,
AFC North,LB,40,"Young, Kenny",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
AFC North,CB,25,"Young, Tavon",ACT,TCKL,--,SCK,--,FF,--,INT,--,BAL,,,
AFC North,DT,97,"Atkins, Geno",ACT,TCKL,46,SCK,9,FF,0,INT,--,CIN,,,
AFC North,DT,92,"Baker, Chris",ACT,TCKL,33,SCK,0.5,FF,0,INT,--,CIN,,,
AFC North,QB,7,"Barkley, Matt",ACT,TDS,--,INT,--,YDS,--,RTG,0,CIN,,,
AFC North,DB,30,"Bates, Jessie",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,LB,51,"Bell, Brandon",ACT,TCKL,10,SCK,0,FF,0,INT,--,CIN,,,
AFC North,RB,25,"Bernard, Giovani",ACT,CAR,105,YDS,458,AVG,4.4,TDS,2,CIN,,,
AFC North,DB,37,"Beverette, Tyrice",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,DT,99,"Billings, Andrew",ACT,TCKL,13,SCK,0,FF,0,INT,--,CIN,,,
AFC North,TE,49,"Boehringer, Moritz",ACT,REC,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,OT,65,"Boling, Clint",ACT,G,16,GS,16,,,,,CIN,,,
AFC North,WR,8,"Boyd, Devonte",ACT,REC,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,WR,83,"Boyd, Tyler",ACT,REC,22,YDS,225,AVG,10.2,TDS,2,CIN,,,
AFC North,DT,93,"Brown, Andrew",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,K,3,"Brown, Jon",ACT,FGA,--,FGM,--,PCT,--,LNG,--,CIN,,,
AFC North,LB,52,"Brown, Preston",ACT,TCKL,144,SCK,0,FF,0,INT,--,CIN,,,
AFC North,K,4,"Bullock, Randy",ACT,FGA,20,FGM,18,PCT,90,LNG,51,CIN,,,
AFC North,LB,55,"Burfict, Vontaze",ACT,TCKL,69,SCK,1.5,FF,1,INT,--,CIN,,,
AFC North,RB,33,"Carson, Tra",ACT,CAR,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,FB,82,"Carter, Cethan",ACT,CAR,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,WR,16,"Core, Cody",ACT,REC,0,YDS,0,AVG,--,TDS,0,CIN,,,
AFC North,QB,14,"Dalton, Andy",ACT,TDS,25,INT,12,YDS,"3,320",RTG,86.6,CIN,,,
AFC North,DB,21,"Dennard, Darqueze",ACT,TCKL,85,SCK,2,FF,0,INT,2,CIN,,,
AFC North,QB,6,"Driskel, Jeff",ACT,TDS,--,INT,--,YDS,--,RTG,--,CIN,,,
AFC North,DE,96,"Dunlap, Carlos",ACT,TCKL,46,SCK,7.5,FF,1,INT,1,CIN,,,
AFC North,TE,85,"Eifert, Tyler",ACT,REC,4,YDS,46,AVG,11.5,TDS,0,CIN,,,
AFC North,WR,12,"Erickson, Alex",ACT,REC,12,YDS,180,AVG,15,TDS,1,CIN,,,
AFC North,LB,50,"Evans, Jordan",ACT,TCKL,38,SCK,0,FF,0,INT,--,CIN,,,
AFC North,SAF,42,"Fejedelem, Clayton",ACT,TCKL,57,SCK,0,FF,0,INT,1,CIN,,,
AFC North,OT,74,"Fisher, Jake",ACT,G,8,GS,7,,,,,CIN,,,
AFC North,RB,34,"Flowers, Quinton",ACT,CAR,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,TE,88,"Franks, Jordan",ACT,REC,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,DT,98,"Glasgow, Ryan",ACT,TCKL,23,SCK,0,FF,0,INT,--,CIN,,,
AFC North,OT,77,"Glenn, Cordy",ACT,G,6,GS,5,,,,,CIN,,,
AFC North,DB,24,"Goodwin, C.J.",ACT,TCKL,9,SCK,0,FF,0,INT,0,CIN,,,
AFC North,WR,18,"Green, A.J.",ACT,REC,75,YDS,"1,078",AVG,14.4,TDS,8,CIN,,,
AFC North,LS,46,"Harris, Clark",ACT,G,16,GS,0,,,,,CIN,,,
AFC North,CB,35,"Harris, Davontae",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,OT,68,"Hart, Bobby",ACT,G,10,GS,7,,,,,CIN,,,
AFC North,OG,69,"Helms, Cory",ACT,G,--,GS,--,,,,,CIN,,,
